[11552:3524:0811/121605.814:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/121606.616:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121611.621:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121616.643:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121621.667:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121626.689:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121631.693:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121636.721:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121641.746:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121646.754:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121651.779:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121656.785:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121701.791:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121706.802:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121711.808:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121716.815:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121721.829:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121726.853:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121731.861:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121736.885:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121741.911:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121746.934:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121751.948:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121756.958:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121801.985:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121807.008:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121812.035:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121817.040:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121822.066:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/121827.090:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
